hthg,htag,hs,hst,ast,hr,ar,result,index
1,0,8,3,4,0,0,1,0
1,0,16,8,3,0,0,1,1
1,0,14,3,8,0,0,-1,2
2,0,13,6,1,0,0,1,3
0,1,14,6,3,0,0,1,4
1,0,9,5,3,0,0,1,5
2,0,13,7,2,0,0,1,6
0,1,14,3,8,0,0,-1,7
2,1,17,3,9,0,0,-1,8
0,0,13,3,4,0,0,1,9
1,0,27,9,3,0,0,1,10
1,0,10,2,1,0,0,1,11
0,0,7,2,3,0,0,0,12
1,1,17,4,8,0,0,0,13
2,0,16,4,0,0,0,1,14
2,0,13,3,1,0,0,1,15
1,0,8,3,4,0,0,0,16
0,1,25,6,6,0,0,-1,17
0,2,6,3,5,0,0,-1,18
1,0,13,7,1,0,1,1,19
3,0,25,10,0,0,1,1,20
1,1,7,5,2,0,0,0,21
0,1,14,3,5,0,0,-1,22
0,0,10,5,6,0,0,0,23
1,1,14,4,3,0,0,-1,24
1,0,14,4,2,0,0,0,25
1,1,24,7,3,0,1,0,26
0,0,12,3,2,0,0,0,27
1,0,15,8,2,0,0,1,28
0,0,15,6,3,0,0,-1,29
0,0,18,4,1,0,1,1,30
0,0,30,7,1,0,0,1,31
0,0,7,1,2,0,0,-1,32
0,0,6,1,8,0,0,-1,33
1,0,21,7,3,0,0,1,34
0,0,11,3,3,0,1,0,35
0,0,6,2,5,0,0,-1,36
1,0,12,4,6,0,0,1,37
0,1,9,4,9,1,0,-1,38
0,0,14,6,6,0,0,1,39
1,1,17,7,9,0,0,0,40
0,2,11,0,3,0,1,-1,41
0,1,18,3,3,0,0,-1,42
1,0,25,10,2,0,0,1,43
0,0,18,1,2,0,0,0,44
1,1,12,5,8,0,0,-1,45
0,0,15,3,1,0,0,1,46
1,0,12,5,3,0,0,1,47
1,1,13,4,10,0,0,-1,48
0,0,8,2,10,0,0,-1,49
0,0,5,0,4,0,0,-1,50
0,0,28,4,3,0,0,-1,51
1,0,11,4,2,0,0,1,52
1,0,15,5,7,0,0,-1,53
1,2,22,5,3,0,0,0,54
0,1,15,4,6,0,0,0,55
1,1,12,4,6,0,0,0,56
0,0,18,6,3,0,0,-1,57
3,0,12,7,4,0,0,1,58
1,0,8,3,4,0,0,0,59
1,0,13,6,2,0,0,0,60
0,0,14,4,2,0,0,0,61
1,0,20,9,2,0,1,1,62
1,0,20,4,1,0,0,1,63
1,1,7,3,2,0,0,1,64
0,0,21,2,2,0,0,0,65
0,2,18,4,5,0,0,0,66
1,0,17,8,3,0,0,1,67
0,1,18,5,6,0,0,-1,68
0,0,6,4,3,0,0,0,69
0,2,6,2,8,0,0,-1,70
0,0,14,5,4,0,0,-1,71
1,1,22,11,6,0,0,1,72
1,0,15,6,2,0,0,1,73
0,0,15,3,3,0,0,0,74
0,0,19,5,0,0,0,1,75
0,1,17,7,1,0,0,-1,76
0,0,15,2,4,0,0,-1,77
1,3,7,1,4,1,0,-1,78
1,0,17,6,6,0,0,0,79
2,0,22,9,4,0,0,1,80
3,0,23,13,1,0,1,1,81
0,0,15,3,2,0,0,0,82
1,1,15,4,8,0,0,-1,83
0,1,18,4,4,0,0,0,84
1,1,16,4,5,0,0,0,85
0,3,10,5,14,0,0,-1,86
0,1,15,5,6,0,0,-1,87
0,0,13,4,4,0,0,1,88
0,4,12,4,8,1,0,-1,89
0,2,16,8,5,0,0,-1,90
3,0,15,6,5,0,0,1,91
2,1,14,3,6,0,0,0,92
0,1,14,3,3,1,0,-1,93
0,0,6,1,6,0,0,-1,94
0,1,10,4,1,0,0,-1,95
0,1,9,0,4,0,0,-1,96
0,0,14,3,6,0,0,-1,97
1,2,9,3,9,1,0,-1,98
2,0,10,4,5,0,0,1,99
1,0,9,3,3,0,0,1,100
0,2,5,1,5,0,0,-1,101
0,2,19,7,5,0,0,-1,102
1,0,25,4,2,0,0,0,103
0,0,13,6,2,0,0,1,104
1,0,14,5,1,1,0,0,105
0,0,14,6,1,0,1,1,106
0,0,12,2,0,1,0,0,107
1,1,18,5,3,0,0,0,108
1,1,7,3,5,0,0,1,109
0,2,4,3,7,0,0,-1,110
0,0,9,5,2,0,0,1,111
2,3,15,9,8,0,0,0,112
2,2,23,9,4,0,0,0,113
1,1,8,4,5,0,0,1,114
2,0,20,7,3,0,1,1,115
0,0,15,5,3,0,0,1,116
1,0,19,9,3,0,0,1,117
1,0,17,7,1,0,0,1,118
0,1,13,4,7,0,0,1,119
0,0,24,6,5,0,0,1,120
0,1,8,3,3,0,0,-1,121
3,0,20,6,3,0,0,1,122
0,0,14,4,2,0,0,0,123
0,0,20,4,4,0,0,0,124
1,0,6,4,5,0,0,1,125
3,1,18,8,5,0,0,1,126
1,0,19,9,3,0,0,1,127
0,0,24,6,2,0,0,0,128
0,0,9,1,6,0,1,0,129
0,0,15,3,1,0,0,1,130
2,1,15,7,6,0,0,0,131
1,1,13,6,4,0,0,-1,132
1,0,14,6,3,0,0,0,133
0,0,16,2,1,0,0,0,134
0,2,9,3,7,0,0,-1,135
1,2,8,2,7,0,0,-1,136
1,0,11,6,2,0,0,1,137
1,1,14,10,8,0,0,1,138
1,2,11,5,7,0,0,1,139
1,0,19,4,1,0,0,1,140
1,0,14,4,4,0,0,0,141
0,0,3,1,5,0,0,-1,142
